"id","idLegislacao","nome","nomeArquivo","created_at","updated_at","descricao","remoto"
"1","5","DECRETO Nº 5.989 DE 04 DE ABRIL DE 2021","Decreto-5989-de-2021-Covid.pdf","5/4/2021 13:48:31","5/4/2021 13:49:02","","0"
"2","6","DECRETO Nº 6.009 - PLANO DE AÇÕES SIAFIC","DECRETO-No-6009-PLANO-DE-ACOES-SIAFIC.pdf","28/4/2021 10:18:06","28/4/2021 10:18:16","DECRETO Nº 6.009 - PLANO DE AÇÕES SIAFIC","0"
"3","7",,"DECRETO-5911.pdf","7/5/2021 15:22:13","7/5/2021 15:22:13",,"0"
"4","8","LEI Nº 1934","LEI-No-1934-DE-29-DE-JANEIRO-DE-2021.pdf","25/5/2021 15:11:27","25/5/2021 15:11:42","","0"
"5","9","LEI Nº 1.935","LEI-No-1935-DE-26-DE-FEVEREIRO-DE-2021.pdf","25/5/2021 15:29:37","25/5/2021 15:29:46","","0"
"6","10","LEI Nº 1.936","LEI-No-1936-DE-18-DE-MARCO-DE-2021.pdf","25/5/2021 15:33:13","25/5/2021 15:34:30","","0"
"7","11","LEI Nº 1.937","LEI-No-1937-DE-18-DE-MARCO-DE-2021.pdf","25/5/2021 15:37:27","25/5/2021 15:37:36","","0"
"8","12","LEI Nº 1.938","LEI-No-1938-DE-18-DE-MARCO-DE-2021.pdf","25/5/2021 15:58:32","25/5/2021 15:59:07","RATIFICA PROTOCOLO DE INTENÇÕES FIRMADO ENTRE MUNICÍPIOS BRASILEIROS, COM A FINALIDADE DE ADQUIRIR VACINAR PARA COMBATE À PANDEMIA DO CORONAVÍRUS; MEDICAMENTOS, INSUMOS E EQUIPAMENTOS NA ÁREA DE SAÚDE","0"
"9","13","LEI Nº 1.939","LEI-No-1939-DE-25-DE-MARCO-DE-2021.pdf","25/5/2021 16:02:00","25/5/2021 16:02:17","DISPÕE SOBRE A CRIAÇÃO DO CONSELHO MUNICIPAL DE ACOMPANHAMENTO E CONTROLE SOCIAL DO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO – CACS/FUNDEB.","0"
"10","14","LEI Nº 1.940","LEI-No-1940-DE-25-DE-MARCO-DE-2021.pdf","25/5/2021 16:07:43","25/5/2021 16:08:01","DISPÕE SOBRE A POLÍTICA HABITACIONAL DE INTERESSE SOCIAL DO MUNICÍPIO, VOLTADA PARA A POPULAÇÃO DE BAIXA RENDA","0"
"11","15","LEI COMPLEMENTAR Nº 001","LEI-COMPLEMENTAR-No-001-DE-25-DE-MARCO-DE-2021.pdf","25/5/2021 16:12:11","25/5/2021 16:12:24","","0"
"12","16","LEI Nº 1.941","LEI-No-1941-DE-27-DE-ABRIL-DE-2021.pdf","25/5/2021 16:15:47","25/5/2021 16:15:56","","0"
"13","17","LEI Nº 1.942","LEI-No-1942-DE-18-DE-MAIO-DE-2021.pdf","25/5/2021 16:32:36","25/5/2021 16:32:46","","0"
"14","18","LEI Nº 1.943","LEI-No-1943-DE-18-DE-MAIO-DE-2021.pdf","25/5/2021 16:36:39","25/5/2021 16:36:49","","0"
"15","19","LEI Nº 1944","LEI-No-1944-DE-18-DE-MAIO-DE-2021.pdf","25/5/2021 16:38:28","25/5/2021 16:38:42","AUTORIZA ABERTURA DE CRÉDITO ADICIONAL ESPECIAL NO ORÇAMENTO VIGENTE E DÁ OUTRAS PROVIDÊNCIAS","0"
"16","20","LEI Nº 1.945","LEI-No-1945-DE-18-DE-MAIO-DE-2021.pdf","25/5/2021 16:43:49","25/5/2021 16:45:12","","0"
"18","21","LEI Nº 1.946","LEI-No-1946-DE-18-DE-MAIO-DE-2021.pdf","25/5/2021 16:47:19","25/5/2021 16:47:33","","0"
"19","22","LEI Nº 1.947","LEI-No-1947-DE-18-DE-MAIO-DE-2021.pdf","27/5/2021 15:01:14","27/5/2021 15:01:30","AUTORIZA A ABERTURA DE CRÉDITO ADICIONAL ESPECIAL NO ORÇAMENTO VIGENTE E DÁ OUTRAS PROVIDÊNCIAS","0"
"20","23","LEI Nº 1.948","LEI-No-1948-DE-18-DE-MAIO-DE-2021.pdf","27/5/2021 15:02:43","27/5/2021 15:03:10","AUTORIZA A ABERTURA DE CRÉDITO ADICIONAL ESPECIAL NO ORÇAMENTO VIGENTE E DÁ OUTRAS PROVIDÊNCIAS","0"
"21","24","DECRETO Nº 6.030","DECRETO-No-6030-COVID.pdf","2/6/2021 16:17:53","2/6/2021 16:18:33","DISPÕE SOBRE  A ADOÇÃO DE MEDIDAS DE CARÁTER EMERGENCIAL E DE PREVENÇÃO NO CONTEXTO DA PANDEMIA DO COVID-19, NO MUNICÍPIO DE FRONTEIRA E DA OUTRAS PROVIDÊNCIAS","0"
"22","25","LEI COMPLEMENTAR Nº 002/2021","LEI-COMPLEMENTAR-002-DE-09-DE-JUNHO-DE-2021.pdf","22/6/2021 14:01:22","22/6/2021 14:02:24","DISPÕE SOBRE O AFASTAMENTO DA GESTANTE SERVIDORA OU CONTRATADA POR PRAZO DETERMINADO, DO MUNICÍPIO DE FRONTEIRA, DAS ATIVIDADES DE TRABALHO PRESENCIAL DURANTE A EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA MUNICIPAL DECORRENTE DO NOVO CORONAVÍRUS.","0"
"23","26","LEI Nº 1.949 DE 09 DE JUNHO DE 2021","LEI-No-1949-DE-09-DE-JUNHO-DE-2021.pdf","30/6/2021 09:21:26","30/6/2021 09:22:41","AUTORIZA O EXECUTIVO MUNICIPAL A CONCEDER DESCONTO SOBRE JUROS E MULTAS DOS TRIBUTOS MUNICIPAIS E DÁ OUTRAS PROVIDÊNCIAS","0"
"24","27","LEI Nº 1.950","LEI-No-1950-DE-09-DE-JUNHO-DE-2021.pdf","1/7/2021 14:03:15","1/7/2021 14:03:36","AUTORIZA A ALIENAÇÃO DE BENS MÓVEIS E DÁ OUTRAS PROVIDÊNCIAS","0"
"25","28","LEI Nº 1951 DE 09 DE JUNHO DE 2021","LEI-No-1951-DE-09-DE-JUNHO-DE-2021.pdf","5/7/2021 09:07:14","5/7/2021 09:07:31","","0"
"26","29","LEI Nº 1.952 DE 09 DE JUNHO DE 2021","LEI-No-1952-DE-09-DE-JUNHO-DE-2021.pdf","5/7/2021 09:12:46","5/7/2021 09:13:55","DA DENOMINAÇÃO A AVENIDA 16 NA VILA CHICA DE ""DIVIDA EURIDES DE LIMA ROCHA"" E DÁ OUTRAS PROVIDÊNCIAS","0"
"27","30","LEI COMPLEMENTAR Nº 003 DE 15 DE JULHO DE 2021","LEI-COMPLEMENTAR-No-003-DE-15-DE-JULHO-DE-2021.pdf","22/7/2021 15:55:16","22/7/2021 15:58:32","","0"
"28","31","LEI Nº 1.953 DE 15 DE JULHO DE 2021","LEI-No-1953-DE-15-DE-JULHO-DE-2021.pdf","22/7/2021 15:59:54","22/7/2021 16:00:12","","0"
"29","32","LEI Nº 1.954 DE 15 DE JULHO DE 2021","LEI-No-1954-DE-15-DE-JULHO-DE-2021.pdf","22/7/2021 16:00:54","22/7/2021 16:01:26","REVOGA A LEI MUNICIPAL Nº 1.920 DE 11 DE AGOSTO DE 2020.","0"
"30","33","LEI Nº 1.955 DE 15 DE JULHO DE 2021","LEI-No-1955-DE-15-DE-JULHO-DE-2021.pdf","22/7/2021 16:02:13","22/7/2021 16:02:51","","0"
"31","34","LEI Nº 1.956 DE 15 DE JULHO DE 2021","LEI-No-1956-DE-15-DE-JULHO-DE-2021.pdf","22/7/2021 16:03:59","22/7/2021 16:04:15","","0"
"32","35",,"Decreto-6092-24-julho-2021-Horarios.pdf","26/7/2021 20:21:10","26/7/2021 20:21:10",,"0"
"33","36",,"DECRETO-6082-2021.pdf","4/8/2021 10:07:43","4/8/2021 10:07:43",,"0"
"34","37",,"DECRETO-6094-2021.pdf","4/8/2021 10:12:41","4/8/2021 10:12:41",,"0"
"35","38",,"DECRETO-6093-2021.pdf","4/8/2021 10:14:58","4/8/2021 10:14:58",,"0"
"36","39","LEI Nº 1957 DE 15 DE JULHO DE 2021","LEI-No-1957-DE-15-DE-JULHO-DE-2021.pdf","16/8/2021 16:25:30","16/8/2021 16:25:45","","0"
"37","40","LEI Nº 1.958 DE 15 DE JULHO DE 2021","LEI-No-1958-DE-15-DE-JULHO-DE-2021.pdf","16/8/2021 16:27:13","16/8/2021 16:27:36","","0"
"38","41","LEI Nº 1959 DE 15 DE JULHO DE 2021","LEI-No-1959-DE-15-DE-JULHO-DE-2021.pdf","16/8/2021 16:28:42","16/8/2021 16:30:34","","0"
"39","42","LEI Nº 1.960 DE 23 DE JULHO DE 2021","LEI-No-1960-DE-23-DE-JULHO-DE-2021.pdf","16/8/2021 16:32:11","16/8/2021 16:32:46","AUTORIZA O PODER EXECUTIVO A FIRMAR ACORDO DE PARCELAMENTO DE DÍVIDA ORIUNDA DO LEGISLATIVO MUNICIPAL COM O INSTITUTO NACIONAL DE SEGURIDADE SOCIAL – INSS E DÁ OUTRAS PROVIDÊNCIAS.","0"
"40","43","LEI Nº 1961 DE 12 DE AGOSTO DE 2021","LEI-No-1961-DE-12-DE-AGOSTO-DE-2021.pdf","16/8/2021 16:34:20","16/8/2021 16:34:37","","0"
"41","44","LEI Nº 1962 DE 12 DE AGOSTO DE 2021","LEI-No-1962-DE-12-DE-AGOSTO-DE-2021.pdf","16/8/2021 16:35:32","16/8/2021 16:35:52","","0"
"42","45","LEI Nº 1.963 DE 12 DE AGOSTO DE 2021","LEI-No-1963-DE-12-DE-AGOSTO-DE-2021.pdf","31/8/2021 14:22:45","31/8/2021 14:23:00","","0"
"43","46","LEI Nº 1.964 DE 12 DE AGOSTO DE 2021","LEI-No-1964-DE-12-DE-AGOSTO-DE-2021.pdf","31/8/2021 14:25:03","31/8/2021 14:25:20","INSTITUI A “CAMPANHA OFTALMOLOGICA NAS ESCOLAS DO MUNICÍPIO” E DÁ OUTRAS PROVIDÊNCIAS.","0"
"44","47",,"LEI-No-1965-DE-12-DE-AGOSTO-DE-2021.pdf","31/8/2021 14:26:43","31/8/2021 14:26:43",,"0"
"45","49","LEI Nº 1.966 DE 25 DE AGOSTO DE 2021","LEI-No-1966-DE-25-DE-AGOSTO-DE-2021.pdf","2/9/2021 16:20:28","2/9/2021 16:20:43","","0"
"46","50","LEI Nº 1.968 DE 25 DE AGOSTO DE 2021","LEI-No-1968-DE-25-DE-AGOSTO-DE-2021.pdf","2/9/2021 16:21:23","2/9/2021 16:21:37","","0"
"47","51","LEI Nº 1.969 DE 25 DE AGOSTO DE 2021","LEI-No-1969-DE-25-DE-AGOSTO-DE-2021.pdf","2/9/2021 16:22:41","2/9/2021 16:22:54","","0"
"49","53","LEI Nº 1.971 DE 15 DE SETEMBRO DE 2021","LEI-No-1971-DE-15-DE-SETEMBRO-DE-2021.pdf","25/11/2021 15:15:32","25/11/2021 15:15:54","","0"
"50","54","LEI Nº 1.972 DE 15 DE SETEMBRO DE 2021","LEI-No-1972-DE-15-DE-SETEMRO-DE-2021.pdf","25/11/2021 15:22:13","25/11/2021 15:37:20","","0"
"51","55","LEI Nº 1.973 DE 27 DE SETEMBRO DE 201","LEI-No-1973-DE-27-DE-SETEMBRO-DE-2021.pdf","25/11/2021 15:44:09","25/11/2021 15:52:01","INCLUI NO PERÍMETRO URBANO DO MUNICÍPIO A ÁREA QUE MENCIONA E DÁ OUTRAS PROVIDÊNCIAS.","0"
"52","57","LEI Nº 1975 DE 14 DE OUTUBRO DE 2021","LEI-No-1975-DE-14-DE-OUTUBRO-DE-2021.pdf","25/11/2021 16:13:02","25/11/2021 16:20:16","NOMEIA DE “ESF II – DR. RENATO DUPRAT” O ESF II, SITUADO NA AV. MINAS GERAIS, Nº 69, CENTRO E DÁ OUTRAS PROVIDÊNCIAS.","0"
"53","58","LEI COMPLEMENTAR Nº 004 DE 18 DE NOVEMBRO DE 2021","LEI-COMPLEMENTAR-No-004-DE-18-DE-NOVEMBRO-DE-2021.pdf","25/11/2021 16:24:26","25/11/2021 16:27:36","DISPÕE SOBRE A RECOMPOSIÇÃO DOS VENCIMENTOS DOS PROFESSORES DA EDUCAÇÃO BÁSICA EM CONSONÂNCIA COM O PISO NACIONAL, CONFORME VALORES ESTIPULADOS PELA LEI FEDERAL Nº 11.708/2008.","0"
"54","59","LEI Nº 1.976 DE 18 DE NOVEMBRO DE 2021","LEI-No-1976-DE-18-DE-NOVEMBRO-DE-2021.pdf","17/12/2021 15:53:41","17/12/2021 15:56:11","DISPÕE SOBRE AS MEDIDAS A SEREM TOMADAS EM CASO DE EXTRAVIO DE DOCUMENTOS DO ACERVO DO MUNICÍPIO E DÁ OUTRAS PROVIDÊNCIAS.","0"
"55","60","LEI Nº 1.977 DE NOVEMBRO DE 2021","LEI-No-1977-DE-18-DE-NOVEMBRO-DE-2021.pdf","17/12/2021 15:57:03","17/12/2021 15:57:29","AUTORIZA O PODER EXECUTIVO A CONCEDER INCENTIVO CULTURAL A ARTISTAS, MÚSICOS, DUPLAS, BANDAS E GRUPOS MUSICAIS DO MUNICÍPIO DE FRONTEIRA-MG, E DÁ OUTRAS PROVIDÊNCIAS.","0"
"56","61","LEI Nº 1.978 DE 18 DE DEZEMBRO DE 2021","LEI-No-1978-DE-18-DE-DEZEMBRO-DE-2021.pdf","17/12/2021 15:58:39","17/12/2021 15:59:33","CRIA O PROGRAMA “NATAL FELIZ ” E AUTORIZA O MUNICÍPIO DE FRONTEIRA-MG A ADQUIRIR E DISTRIBUIR BRINQUEDOS A CRIANÇAS VULNERÁVEIS E DÁ OUTRAS PROVIDÊNCIAS.","0"
"57","62","LEI Nº 1.979 DE 18 DE NOVEMBRO DE 2021","LEI-No-1979-DE-18-DE-NOVEMBRO-DE-2021.pdf","17/12/2021 16:00:09","17/12/2021 16:00:28","AUTORIZA A CONCESSÃO DE AUXÍLIO FINANCEIRO AO CONSELHO COMUNITÁRIO DE SEGURANÇA PÚBLICA E SOCIAL DE FRONTEIRA-MG (CONSEP) E DÁ OUTRAS PROVIDÊNCIAS","0"
"58","63","LEI Nº 1.980 DE 15 DE DEZEMBRO DE 2021","LEI-No-1980-DE-15-DE-DEZEMBRO-DE-2021.pdf","17/12/2021 16:02:37","17/12/2021 16:02:50","","0"
"59","64","LEI Nº 1.981 DE 15 DE DEZEMBRO DE 2021","LEI-No-1981-DE-15-DE-DEZEMBRO-DE-2021.pdf","17/12/2021 16:03:37","17/12/2021 16:03:56","INCLUI NO PERIMETRO URBANO DO MUNICÍPIO A ÁREA QUE MENCIONA E DÁ OUTRAS PROVIDÊNCIAS","0"
"60","65","LEI Nº 1.982 DE 15 DE DEZEMBRO DE 2021","LEI-No-1982-DE-15-DE-DEZEMBRO-DE-2021.pdf","17/12/2021 16:04:32","17/12/2021 16:04:50","INSTITUI O CALENDÁRIO DE EVENTOS OFICIAL DO MUNICÍPIO DE FRONTEIRA E DÁ OUTRAS PROVIDÊNCIAS","0"
"61","66","LEI Nº 1.983 DE 15 DE DEZEMBRO DE 2021","LEI-No-1983-DE-15-DE-DEZEMBRO-DE-2021.pdf","17/12/2021 16:19:41","17/12/2021 16:19:59","DISPÕE SOBRE A MODIFICAÇÃO DO INCISO I DO ARTIGO 4º DA LEI MUNICIPAL Nº 1.933 DE 28 DE DEZEMBRO DE 2020;","0"
"62","67","LEI Nº 1.984 DE 15 DE DEZEMBRO DE 2021","LEI-No-1984-DE-15-DE-DEZEMBRO-DE-2021.pdf","17/12/2021 16:23:14","17/12/2021 16:23:28","AUTORIZA O PODER EXECUTIVO MUNICIPAL A PROMOVER PROCESSO DE TRANSFERENCIA DE IMÓVEIS NA FORMA QUE MENCIONA E DÁ OUTRAS PROVIDENCIAS;","0"
"63","68","LEI Nº 1.985 DE 15 DE DEZEMBRO DE 2021","LEI-No-1985-DE-15-DE-DEZEMBRO-DE-2021.pdf","17/12/2021 16:24:06","17/12/2021 16:24:24","","0"
"64","69","LEI Nº 1.986 DE 15 DE DEZEMBRO DE 2021","LEI-No-1986-DE-15-DE-DEZEMBRO-DE-2021.pdf","17/12/2021 16:25:01","17/12/2021 16:25:26","ESTIMA A RECEITA E FIXA A DESPESA DO MUNICÍPIO DE FRONTEIRA PARA O EXERCÍCIO DE 2022, E DÁ OUTRAS PROVIDÊNCIAS.","0"
