"id","nome","created_at","updated_at"
"1","Assessoria de Comunicação",,
"93","Gabinete do Prefeito",,
"94","Procuradoria Jurídica",,
"95","Secretaria de Administração",,
"96","Secretaria da Agricultura",,
"97","Secretaria de Assistência Social e Trabalho",,
"98","Secretaria de Educação Cultura Desporto Lazer e Turismo",,
"99","Secretaria da Fazenda Desenv. Economia Ind. e Comércio",,
"100","Secretaria da Habitação",,
"101","Secretaria de Meio Ambiente",,
"102","Secretaria de Obras e Viação",,
"103","Secretaria de Planejamento",,
"104","Secretaria da Saúde",,
"105","Secretaria de Transportes e Trânsito",,
"110","Secretaria de Compras e Patrimônio",,
"191","Secretaria Especial de Governo",,
