"id","nome","created_at","updated_at"
"1","Decreto","15/1/2013 20:03:08",
"2","Emenda à Lei Orgânica","15/1/2013 20:03:08",
"3","Lei Complementar","15/1/2013 20:03:08",
"5","Lei Orgânica Municipal","15/1/2013 20:03:08",
"7","Regimento Interno","15/1/2013 20:03:08",
"8","Resolução","15/1/2013 20:03:08",
"9","Lei Ordinária","15/1/2013 20:03:08",
"10","Ato","15/1/2013 20:03:08",
"11","Portaria","4/1/2017 17:36:46",
"12","Não Encontrado",,
"13","Decreto COVID-19",,
"14","Leis COVID 19",,
"15","Parecer",,
"16","Legislação Tributária",,
"17","Oficio",,
"18","Termo de posse",,
"19","Ata",,
"20","Indicação",,
