"id","titulo","descricao","creditos","updated_at","created_at"
"3","Comprometimento","","","10/3/2023 13:15:16","10/3/2023 13:15:16"
"4","Feliz ano novo ","","","10/3/2023 13:15:39","10/3/2023 13:15:39"
"5","Aviso","","","10/3/2023 13:16:27","10/3/2023 13:16:27"
"6","Informativo","","","10/3/2023 13:17:02","10/3/2023 13:17:02"
"7","Janeiro branco","","","10/3/2023 13:17:51","10/3/2023 13:17:51"
"8","Reforço vacina","","","14/3/2023 15:54:15","14/3/2023 15:54:15"
"9","Enfrentamento da Hanseníase","","","22/3/2023 10:06:13","22/3/2023 10:04:32"
"10","Aulas de Ballet","","","27/3/2023 15:00:10","27/3/2023 15:00:10"
"11","Agendamento transporte na saúde","","","27/3/2023 16:32:08","27/3/2023 16:32:08"
"12","Campanha contra Influenza","Procure seu Esf sábado dia 15/03/2023","","11/4/2023 08:59:26","11/4/2023 08:59:26"
"13","Feliz Páscoa ","","","11/4/2023 09:00:54","11/4/2023 09:00:54"
"14","Cronograma de Limpeza","","","11/4/2023 09:02:23","11/4/2023 09:02:23"
"15","VACINA","MULTIRÃO DE VACINAÇÃO COVID-19","","1/5/2023 21:05:29","1/5/2023 21:05:29"
"16","ABRIL VERDE","DIA MUNDIAL DE SEGURANÇA E SAÚDE NO TRABALHO","","1/5/2023 21:06:45","1/5/2023 21:06:45"
"17","DIA DO TRABALHADOR ","PARABÉNS TRABALHADORES","","1/5/2023 21:08:18","1/5/2023 21:08:18"
"18","CAMPANHA DO AGASALHO","","","22/5/2023 09:06:27","22/5/2023 09:06:27"
"19","FEIRA ARTESANAL","","","22/5/2023 09:16:19","22/5/2023 09:16:19"
"20","DIA MUNDIAL DA ENFERMAGEM","","","22/5/2023 09:17:31","22/5/2023 09:17:31"
"21","PARABÉNS A TODAS AS MAMÃES","","","22/5/2023 09:18:33","22/5/2023 09:18:33"
"22","16 DE MAIO DIA DO GARI","","","22/5/2023 09:24:19","22/5/2023 09:24:19"
"23","CONSELHO TUTELAR INFORMA","","","22/5/2023 09:25:08","22/5/2023 09:25:08"
"24","MÊS DE COMBATE AO ABUSO E EXPLORAÇÃO SEXUAL CONTRA CRIANÇAS E ADOLESCESTES","","","22/5/2023 09:27:15","22/5/2023 09:27:15"
"25","ENTREGA DE ÓCULOS ","","","23/5/2023 08:43:55","23/5/2023 08:43:55"
"26","SEMANA DO MEI","","","5/6/2023 08:46:17","5/6/2023 08:46:17"
"27","CONVITE ESPECIAL","","","5/6/2023 09:06:52","5/6/2023 09:06:52"
"28","ARRAIÁ BERNARDÃO","","","17/6/2023 17:31:34","17/6/2023 17:31:34"
"29","PREFEITURA INFORMA","","","19/6/2023 14:03:05","19/6/2023 14:03:05"
"30","PREFEITURA INFORMA","","","13/7/2023 15:31:32","13/7/2023 15:31:32"
"31","Seminário de Jiu-Jitsu","","","25/7/2023 10:16:48","25/7/2023 10:16:48"
"32","13º Salário na conta do servidor público","","","28/8/2023 08:11:20","28/8/2023 08:11:20"
"33","PROGRAMAÇÃO DA CAMPANHA ANTIRRÁBICA 2023","","","28/8/2023 08:13:35","28/8/2023 08:13:35"
"34","Convite Audiência Pública	","","","14/9/2023 10:29:52","14/9/2023 10:29:52"
"35","28 de Outubro: Dia do funcionário Público","","","30/10/2023 08:19:17","30/10/2023 08:19:17"
