"id","idEntidadeLicitacao","idModalidade","idStatusLicitacao","numero","ano","dataAbertura","dataPublicacao","objeto","referencia","link","numeroProcesso","dataAcolhimento","dataDisputa","nomeArquivo","created_at","updated_at","valorEstimado","prazoVigencia","numeroContrato","anoContrato","remoto"
"346","1","8","3","0001","2019","4/2/2019 09:00:00","21/1/2019","<p>CONTRATAÇÃO DE EMPRESA ESPECIALIZADA, PARA PRESTAÇÃO DE<br />
SERVIÇOS NO TRANSPORTE ESCOLAR DE ALUNOS DO ENSINO FUNDAMENTAL E<br />
INFANTIL, QUE RESIDEM NA ZONA RURAL DESTE MUNICÍPIO, DE ACORDO COM<br />
ROTEIROS, QUILOMETRAGENS E ESPECIFICAÇÕES CONSTANTES NO TERMO DE<br />
REFERENCIA, DURANTE O ANO LETIVO DE 2019.</p>
",,,"26067",,,,"21/1/2019 16:19:51","31/7/2019 14:06:12",,,,,"0"
"347","1","9","3","0001","2019","8/2/2019 09:00:00","21/1/2019","<p>CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA ÁREA DE ENGENHARIA CIVIL, PARA EXECUÇÃO DE OBRAS DE REACAPEAMENTO ASFALTICO EM DIVERSOS LOGRADOUROS DESTA CIDADE DE FRONTEIRA/MG, CONFORME CONTRATOS DE REPASSES Nº 846318/2017, 846331/2017 E 873121/2018, FIRMADOS ENTRE A UNIÃO FEDERAL POR INTERMÉDIO DOS MINISTERIOS DAS CIDADES E TURISMO, RESPECTIVAMENTE, DE ACORDO COM O PROJETO BÁSICO.</p>

<p>OBSERVAÇÃO: SOLICITAR O PROJETO BASICO NO TELEFONE (34) 3428 - 2762, OU NOS EMAIS: licita@fronteira.mg.gov.br</p>

<p>licita2@fronteira.mg.gov.br, licitacao@fronteira.mg.gov.br</p>
",,,"26073",,,,"21/1/2019 16:58:20","1/8/2019 14:23:37",,,,,"0"
"348","1","8","3","0008","2014","21/2/2014 09:00:00","6/2/2014","<p>CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA ADMINISTRAÇÃO, GERENCIAMENTO E FORNECIMENTO DE CARTÃO MAGNÉTICO DE VALE<br />
ALIMENTAÇÃO, PARA SERVIDORES EFETIVOS E CARGOS EM COMISSÃO, COM EXCEÇÃO DOS SECRETÁRIOS MUNICIPAIS DA PREFEITURA MUNICIPAL DE<br />
FRONTEIRA-MG., DE ACORDO COM A LEI MUNICIPAL Nº 1.370, DE 01 DE FEVEREIRO DE 2008, POR UM PERIODO DE 10 (DEZ) MESES.</p>
",,,"18966",,,,"23/1/2019 14:43:40","23/1/2019 16:45:18",,,,,"0"
"349","1","10","3","0001","2019","18/2/2019 09:00:00","24/1/2019","<p>AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E EMPREENDEDOR FAMILIAR RURAL PARA ATENDER AOS ALUNOS MATRICULADOS<br />
NA REDE PÚBLICA DE ENSINO FUNDAMENTAL, INFANTIL E PRE- ESCOLA, EM CONFORMIDADE COM O PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR - PNAE E PROGRAMA SUPLEMENTAR DA ALIMENTAÇÃO ESCOLAR DA PREFEITURA MUNICIPAL DE FRONTEIRA/MG. POR UM PERIODO DE 10(DEZ) MESES.<br />
 </p>
",,,"26079",,,,"25/1/2019 09:57:51","27/1/2025 06:44:21",,,,,"0"
"350","1","8","3","0002","2019","11/2/2019 09:00:00","30/1/2019","<p>REGISTRO DE PREÇOS PARA AQUISIÇÃO DE UNIFORMES ESCOLARES A SEREM OFERECIDOS AOS ALUNOS DA REDE MUNICIPAL DE ENSINO, DO MUNICIPIO DE FRONTEIRA/MG, PARA O ANO ESCOLAR DE 2019, DE ACORDO COM AS ESPECIFICAÇÕES, QUANTIDADES E CONDIÇÕES CONSTANTES NO TERMO DE REFERÊNCIA, POR UM PERIODO DE 12 (DOZE) MESES.</p>
",,,"26142",,,,"30/1/2019 15:03:36","25/9/2019 09:13:28",,,,,"0"
"351","1","8","3","0003","2019","11/2/2019 09:00:00","30/1/2019","<p>REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MATERIAL DE CONSTRUÇÃO (CONCRETO USINADO 20MPA), A SEREM UTILIZADOS NA CONSTRUÇÃO DE CALÇADAS EM VÁRIOS LOGRADOUROS DO BAIRRO ANGELO PASSUELO, NESTA CIDADE DE FRONTEIRA/MG, POR UM PERIODO DE 12 (DOZE) MESES.</p>
",,,"26143",,,,"30/1/2019 16:32:03","20/8/2019 15:01:01",,,,,"0"
"352","1","8","3","0004","2019","20/2/2019 09:00:00","7/2/2019","<p>REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE PUBLICAÇÃO DE ATOS ADMINISTRATIVOS DESTA MUNICIPALIDADE, NA IMPRENSA OFICIAL DE MINAS GERAIS, JORNAL DE GRANDE CIRCULAÇÃO E DIÁRIO OFICIAL DA UNIÃO, PARA ATENDIMENTO DAS NECESSIDADES DE DIVERSAS SECRETARIAS DESTA ADMINISTRAÇÃO, POR UM PERIODO DE 12 (DOZE) MESES</p>
",,,"26189",,,,"7/2/2019 10:18:53","25/3/2019 09:53:25",,,,,"0"
"353","1","8","3","0005","2019","25/2/2019 09:00:00","12/2/2019","<p style=""text-align:justify"">REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA, PARA PRESTAÇÃO DE SERVIÇOS NA ÁREA EXCLUSIVA DE FUNILARIA E PINTURA DE AUTOS, DESTINADOS À MANUTENÇÃO CORRETIVA DOS VEÍCULOS PERTENCENTES À FROTA MUNICIPAL E CONVENIADOS, POR UM PERIODO DE 12 (DOZE) MESES.</p>
",,,"26198",,,,"12/2/2019 16:00:37","25/3/2019 09:54:44",,,,,"0"
"354","1","8","3","0006","2019","1/3/2019 09:00:00","18/2/2019","<p>REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE RESSOLAGEM DE PNEUS DIVERSOS, A SEREM UTILIZADOS NA REPOSIÇÃO DOS VEÍCULOS DA FROTA MUNICIPAL, POR UM PERIODO DE 12 (DOZE) MESES.</p>
",,,"26239",,,,"18/2/2019 17:56:02","21/10/2021 14:57:01",,,,,"0"
"355","1","8","3","0007","2019","7/3/2019 09:00:00","19/2/2019","<p>REGISTRO DE PREÇOS PARA AQUISIÇÃO DE FITAS MATRICIAIS, FOTO REVELADOR, CARTUCHOS DE TINTAS E TONERS COMPATÍVEIS E ORIGINAIS, PARA IMPRESSORAS DIVERSAS, A SEREM UTILIZADOS NAS AÇÕES DIÁRIAS DAS SECRETARIAS DESTA ADMINISTRAÇÃO, POR UM PERIODO DE 12 (DOZE) MESES</p>
",,,"26241",,,,"20/2/2019 13:57:02","25/4/2019 08:48:39",,,,,"0"
