"id","titulo","descricao","videoURL"
"3","IMPLANTAÇÃO: COBERTURA DO CENTRO DE EVENTOS","IMPLANTAÇÃO: COBERTURA DO CENTRO DE EVENTOS","https://www.youtube.com/watch?v=NK6cIbgkPy0"
"4","EDUCAÇÃO: VOLTA AS AULAS ","EDUCAÇÃO: VOLTA AS AULAS ","https://www.youtube.com/watch?v=dRCNWLtmBrI"
"6","INFRAESTRUTURA URBANA: PARQUE FLORIANOPOLIS E VILA REIS","INFRAESTRUTURA URBANA: PARQUE FLORIANOPOLIS E VILA REIS","https://www.youtube.com/watch?v=QUqGcGd7o5M"
"7","PRESTAÇÃO DE CONTAS - SECRETARIO DE FINANÇAS E ADMINISTRAÇÃO DANIEL FONSECA","PRESTAÇÃO DE CONTAS - SECRETARIO DE FINANÇAS E ADMINISTRAÇÃO DANIEL FONSECA
","https://www.youtube.com/watch?v=sctlO7tNiUE"
"8","EDUCAÇÃO: NVESTIMENTOS ESCOLA ABC","EDUCAÇÃO: NVESTIMENTOS ESCOLA ABC","https://www.youtube.com/watch?v=1wA57Zej6Y8"
"9","APAE: REVITALIZAÇÃO DO PRÉDIO","APAE: REVITALIZAÇÃO DO PRÉDIO
","https://www.youtube.com/watch?v=ajg1OxCemEg"
"10","PROGRAMA MORAR BEM: JD ÂNGELO PASSUELO","PROGRAMA MORAR BEM: JD ÂNGELO PASSUELO
","https://www.youtube.com/watch?v=Jgs5k49O53U"
"11","CEMITÉRIO: LANÇAMENTO PEDRA FUNDAMENTAL","CEMITÉRIO: LANÇAMENTO PEDRA FUNDAMENTAL
","https://www.youtube.com/watch?v=nNLtNFmY5kU"
"12","PREFEITO SERGIO COXA FALA SOBRE A QUEDA DE ARRECADAÇÃO","PREFEITO SERGIO COXA FALA SOBRE A QUEDA DE ARRECADAÇÃO
","https://www.youtube.com/watch?v=BdITrd1woyM"
"13","REFORÇO DE COMUNICADO SOBRE IBGE","REFORÇO DE COMUNICADO SOBRE IBGE","https://www.youtube.com/watch?v=yia4WPxEJNg"
"14","ESCOAMENTO SANITÁRIO: ESGOTO","ESCOAMENTO SANITÁRIO: ESGOTO","https://www.youtube.com/watch?v=l6NJbBKSVJ4"
"15","SUPERVISOR FALA SOBRE IBGE","SUPERVISOR FALA SOBRE IBGE
","https://www.youtube.com/watch?v=YdeK9Cnu3ds"
"16","PROGRAMA ACAEMIA DA SAÚDE ATRAI CENTENAS DE MULHERES E IDOSOS9","PROGRAMA ACAEMIA DA SAÚDE ATRAI CENTENAS DE MULHERES E IDOSOS
","https://www.youtube.com/watch?v=dRvKx4OnBig"
"17","IMPLANTAÇÃO DE SUBESTAÇÃO - DEPUTADO ESTADUAL ARNALDO SILVA","CONSTRUÇÃO DA SUBESTAÇÃO DE ENERGIA DE FRONTEIRA: DEPUTADO ESTADUAL - ARNALDO SILVA, NESTA QUARTA-FEIRA, 1° DE MARÇO, COLOCA NOSSA DEMANDA ENERGÉTICA COMO PRIORIDADE DURANTE SEU MANDATO.

Prefeitura Municipal de Fronteira
Governando com Responsabilidade 
Administração: 2021/2024","https://www.youtube.com/watch?v=HYUhcb-YHmc"
"18","AUDIÊNCIA PÚBLICA: GOVERNO DE FRONTEIRA PRESTA CONTAS E VEREADOR ASSUME QUE ERRO","Durante Audiência Pública realizada na terça-feira, 28 de fevereiro, na Câmara Municipal de Fronteira, que contou com a presença dos vereadores - Moisés Sivirino, Edson Dunga, Ricardo Borges e Zenildo Targino, e secretários de Governo do município, a Contadora da Prefeitura - Denize Rodrigues, juntamente com o secretário de Administração - Daniel Fonseca, fez um balanço da situação orçamentária da","https://www.youtube.com/watch?v=e6GAOJMq4q0"
"19","GOVERNO ADQUIRI NOVO ULTRASSOM","
Na sexta-feira, 3 de março, o secretário de Saúde do município - Geter Ferreira apresentou no CEM, em nome prefeito - Sérgio Cóxa o novo aparelho de ULTRASSOM. O equipamento é de tecnologia avançada.","https://www.youtube.com/watch?v=FukE885TwZM"
"20","TÉCNICOS DE FURNAS VEM A FRONTEIRA E ASSEGURA DOAÇÃO DEFINITIVA DE PATRIMÔNIOS D","Na terça-feira, 7 de março, esteve em Fronteira a superintendente de Comunicação de Furnas do Rio de Janeiro - Ana Cláudia Gesteira, acompanhada  de outros técnicos de Fronteira, para tratar da regularização dos imóveis da estatal, em que estão sendo utilizados pelo município através de concessão. Durante o encontro com o prefeito Sérgio Cóxa, vereadores, secretário de Administração e assessoria j","https://www.youtube.com/watch?v=M0-3OHB7IEo"
"21","MÊS DE MARÇO: MULHERES EMPODERADAS","O governo de Fronteira, através da Secretaria de Educação, promoveu na tarde de quarta-feira, 8 de março, em comemoração ao Dia Internacional da Mulher em parceria com o Projeto Sororidade Lash: Dia da Beleza para seis mães de alunos das escolas municipais da cidade. Esteve presente no Salão de Beleza, improvisado em uma sala do Centro Administrativo II, as secretárias do município - Dra. Amal Sim","https://www.youtube.com/watch?v=q7B31-dZsm4"
"22","PREFEITO PARABENIZA AS MULHERES","✍️ NO DIA INTERNACIONAL DA MULHER, O PREFEITO - SÉRGIO CÓXA RESSALTA A SUA IMPORTÂNCIA PARA A CONSTRUÇÃO DE UMA SOCIEDADE MAIS JUSTA.","https://www.youtube.com/watch?v=uZ5CHayJM6w"
"23","DESENVOLVIMENTO ECONÔMICO:  CASA DO ARTESANATO","Implantada pelo atual prefeito de Fronteira - Sérgio Cóxa, em 2005, no sábado passado, 11 de março, a Associação dos Artesãos de Fronteira, reinaugou a Casa do Artesanato. No local também será o Centro de Informações Turísticas (CIT). Vale apena conferir! Produtos belíssimos.

Prefeitura Municipal de Fronteira
Governando com Responsabilidade
Administração: 2021/2024","https://www.youtube.com/watch?v=2-_YTQxNb1U"
